image,gt_count,det_count,error,abs_error
20150919_174151_image106.png,99,100,1,1
20150919_174151_image131.png,111,113,2,2
20150919_174151_image151.png,118,113,-5,5
20150919_174151_image156.png,114,120,6,6
20150919_174151_image16.png,96,101,5,5
20150919_174151_image161.png,123,123,0,0
20150919_174151_image221.png,88,90,2,2
20150919_174151_image26.png,102,106,4,4
20150919_174151_image381.png,85,91,6,6
20150919_174151_image431.png,94,93,-1,1
20150919_174151_image856.png,86,77,-9,9
20150919_174151_image91.png,105,98,-7,7
20150919_174730_image106.png,6,6,0,0
20150919_174730_image121.png,8,9,1,1
20150919_174730_image171.png,9,9,0,0
20150919_174730_image201.png,7,7,0,0
20150919_174730_image236.png,3,3,0,0
20150919_174730_image241.png,2,3,1,1
20150919_174730_image261.png,7,7,0,0
20150919_174730_image331.png,35,36,1,1
20150919_174730_image351.png,34,42,8,8
20150919_174730_image486.png,51,69,18,18
20150919_174730_image51.png,11,12,1,1
20150919_174730_image596.png,69,79,10,10
20150919_174730_image666.png,54,53,-1,1
20150919_174730_image91.png,7,9,2,2
20150921_131234_image26.png,68,79,11,11
20150921_131234_image286.png,60,69,9,9
20150921_131234_image341.png,64,58,-6,6
20150921_131234_image401.png,56,54,-2,2
20150921_131234_image541.png,13,13,0,0
20150921_131234_image631.png,11,9,-2,2
20150921_131234_image686.png,5,5,0,0
20150921_131346_image1056.png,4,3,-1,1
20150921_131346_image1081.png,3,5,2,2
20150921_131346_image1141.png,13,13,0,0
20150921_131346_image226.png,54,53,-1,1
20150921_131346_image256.png,43,44,1,1
20150921_131346_image316.png,45,42,-3,3
20150921_131346_image341.png,54,57,3,3
20150921_131346_image406.png,55,58,3,3
20150921_131346_image81.png,18,20,2,2
20150921_131346_image846.png,23,25,2,2
20150921_131346_image876.png,37,35,-2,2
20150921_131346_image911.png,23,20,-3,3
20150921_131346_image946.png,6,6,0,0
20150921_131346_image966.png,5,7,2,2
20150921_131346_image991.png,5,5,0,0
20150921_131453_image1056.png,56,52,-4,4
20150921_131453_image1081.png,52,41,-11,11
20150921_131453_image11.png,53,53,0,0
20150921_131453_image1111.png,37,40,3,3
20150921_131453_image1116.png,35,38,3,3
20150921_131453_image231.png,47,47,0,0
20150921_131453_image26.png,48,48,0,0
20150921_131453_image41.png,50,46,-4,4
20150921_131453_image601.png,35,37,2,2
20150921_131453_image611.png,21,21,0,0
20150921_131453_image646.png,21,24,3,3
20150921_131453_image671.png,19,24,5,5
20150921_131453_image711.png,26,30,4,4
20150921_131453_image996.png,57,56,-1,1
20150921_131625_image1056.png,45,49,4,4
20150921_131625_image1101.png,50,51,1,1
20150921_131625_image336.png,96,111,15,15
20150921_131625_image646.png,39,40,1,1
20150921_131625_image671.png,27,31,4,4
20150921_131625_image726.png,34,37,3,3
20150921_131729_image281.png,41,41,0,0
20150921_131729_image451.png,46,45,-1,1
20150921_131729_image471.png,46,42,-4,4
20150921_131729_image491.png,42,40,-2,2
20150921_131729_image661.png,42,49,7,7
20150921_131729_image771.png,56,65,9,9
20150921_131833_image106.png,16,19,3,3
20150921_131833_image116.png,11,11,0,0
20150921_131833_image136.png,7,8,1,1
20150921_131833_image151.png,22,25,3,3
20150921_131833_image16.png,26,24,-2,2
20150921_131833_image196.png,40,38,-2,2
20150921_131833_image246.png,52,52,0,0
20150921_131833_image31.png,26,25,-1,1
20150921_131833_image346.png,29,33,4,4
20150921_131833_image351.png,30,30,0,0
20150921_131833_image356.png,29,30,1,1
20150921_131833_image381.png,37,38,1,1
20150921_131833_image416.png,36,43,7,7
20150921_131833_image96.png,22,26,4,4
20150921_132038_image1161.png,9,10,1,1
20150921_132038_image1196.png,8,6,-2,2
20150921_132038_image1206.png,6,5,-1,1
20150921_132038_image146.png,76,60,-16,16
20150921_132038_image151.png,86,72,-14,14
20150921_132038_image161.png,66,63,-3,3
20150921_132038_image341.png,50,58,8,8
20150921_132038_image391.png,72,84,12,12
20150921_132038_image81.png,36,39,3,3
20150921_132038_image86.png,40,37,-3,3
20150921_132245_image201.png,35,35,0,0
20150921_132245_image751.png,7,8,1,1
